ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ Áõ±â¾Ð(hPa),Æò±Õ ÇöÁö±â¾Ð(hPa),ÃÖ°í ÇØ¸é±â¾Ð(hPa),ÃÖÀú ÇØ¸é±â¾Ð(hPa),Æò±Õ ÇØ¸é±â¾Ð(hPa),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),Æò±Õ Àü¿î·®(1/10)
90,¼ÓÃÊ,2023-01-01,1.7,1023.9,1028.1,1024.4,1026.1,8.8,,.4
90,¼ÓÃÊ,2023-01-02,1.4,1025,1029.3,1025.3,1027.2,8.9,,1.1
90,¼ÓÃÊ,2023-01-03,1.1,1023.2,1026.9,1023.6,1025.4,9,,.1
90,¼ÓÃÊ,2023-01-04,1,1025,1028.8,1025.6,1027.2,8.9,,.6
90,¼ÓÃÊ,2023-01-05,1.7,1025.5,1029.3,1026.2,1027.7,8.9,,.9
90,¼ÓÃÊ,2023-01-06,2.8,1018.1,1026.8,1014.1,1020.3,7.3,,6.8
90,¼ÓÃÊ,2023-01-07,4.8,1014.7,1021.3,1013.1,1016.9,5.8,,5
90,¼ÓÃÊ,2023-01-08,3.1,1019.9,1023.6,1020.6,1022.1,7.9,,2.6
90,¼ÓÃÊ,2023-01-09,4.2,1020.8,1027.7,1020.4,1023,8.6,,3.5
90,¼ÓÃÊ,2023-01-10,3.7,1024.3,1029.6,1023.6,1026.5,8.9,,1
90,¼ÓÃÊ,2023-01-11,2.7,1019.5,1023.7,1019.9,1021.6,9,,1.6
90,¼ÓÃÊ,2023-01-12,4.2,1018.5,1022.9,1018.1,1020.6,7.5,,4
90,¼ÓÃÊ,2023-01-13,8.1,1011,1018.3,1009.8,1013.2,0,,9.3
90,¼ÓÃÊ,2023-01-14,7.3,1016,1021,1013,1018.2,0,,9.8
90,¼ÓÃÊ,2023-01-15,5.6,1016.3,1020.1,1016.4,1018.5,0,,10
90,¼ÓÃÊ,2023-01-16,3.8,1020,1025,1018.8,1022.3,6.4,,4.1
90,¼ÓÃÊ,2023-01-17,2.7,1021.6,1025.4,1022.1,1023.8,2,,7.5
90,¼ÓÃÊ,2023-01-18,2.9,1022.5,1026.8,1023.4,1024.7,8.9,,3.4
90,¼ÓÃÊ,2023-01-19,3.1,1019.2,1024.7,1017.7,1021.4,7.2,,4.5
90,¼ÓÃÊ,2023-01-20,1.8,1019.9,1028.2,1015.2,1022.1,8.8,,1.5
90,¼ÓÃÊ,2023-01-21,1.4,1026.6,1029.8,1028.1,1028.9,9.3,,2.1
90,¼ÓÃÊ,2023-01-22,3.3,1023.8,1029.2,1022.7,1026,2.1,,7.8
90,¼ÓÃÊ,2023-01-23,3.9,1018.6,1023.7,1018.7,1020.8,7.7,,5.5
90,¼ÓÃÊ,2023-01-24,.7,1020.4,1026.7,1019,1022.7,9.2,,3.3
90,¼ÓÃÊ,2023-01-25,.9,1024,1029,1024.1,1026.4,9.1,,3.4
90,¼ÓÃÊ,2023-01-26,2.4,1020.4,1024.7,1021,1022.7,2.2,,7.4
90,¼ÓÃÊ,2023-01-27,1.5,1016.6,1021.2,1016.2,1018.9,9.4,,1
90,¼ÓÃÊ,2023-01-28,1.4,1016.4,1021.1,1015.5,1018.6,9.4,,2.4
90,¼ÓÃÊ,2023-01-29,2.6,1014.5,1019.2,1013.8,1016.8,6.1,,4.5
90,¼ÓÃÊ,2023-01-30,2,1018.3,1022.8,1016.4,1020.6,9.5,,.9
90,¼ÓÃÊ,2023-01-31,3.8,1013.2,1020.6,1011.2,1015.4,8.9,,2.4
90,¼ÓÃÊ,2023-02-01,2.8,1014.8,1024.1,1011.1,1017,9.2,,2.3
90,¼ÓÃÊ,2023-02-02,2.9,1023.4,1027.8,1024,1025.7,8,,4
90,¼ÓÃÊ,2023-02-03,2.8,1020.3,1024.6,1020.9,1022.5,6.4,,5.6
90,¼ÓÃÊ,2023-02-04,1.8,1020,1023.7,1020.7,1022.2,9.8,,.3
90,¼ÓÃÊ,2023-02-05,2.6,1020.1,1024,1020.2,1022.3,9.8,,2.4
90,¼ÓÃÊ,2023-02-06,3.7,1018.8,1022.9,1019.1,1020.9,8.3,,3.1
90,¼ÓÃÊ,2023-02-07,5,1020.5,1024.1,1020.4,1022.7,1.7,,5.5
90,¼ÓÃÊ,2023-02-08,4.5,1023.2,1028.7,1022.6,1025.4,9.5,,1.4
90,¼ÓÃÊ,2023-02-09,4.2,1027.4,1033.1,1025.2,1029.6,7.5,,6.8
90,¼ÓÃÊ,2023-02-10,5.9,1018.4,1025.2,1018.9,1020.6,0,,5.1
90,¼ÓÃÊ,2023-02-11,5.4,1019.6,1023.5,1020.8,1021.8,6.2,,3.6
90,¼ÓÃÊ,2023-02-12,5.3,1020.7,1025.1,1020.9,1022.9,1.3,,6.8
90,¼ÓÃÊ,2023-02-13,5.9,1019.1,1022.1,1020,1021.3,0,,9.4
90,¼ÓÃÊ,2023-02-14,3.8,1022.6,1028.6,1020.4,1024.8,5.7,,6.3
90,¼ÓÃÊ,2023-02-15,4.5,1029.7,1033.5,1028.5,1032,.7,,8.8
90,¼ÓÃÊ,2023-02-16,4.1,1026.5,1033.2,1025.8,1028.7,8.3,,2.9
90,¼ÓÃÊ,2023-02-17,3.7,1023.2,1027,1024,1025.4,8.2,,4.6
90,¼ÓÃÊ,2023-02-18,5.4,1016.8,1024.6,1013.3,1018.9,0,,9.6
90,¼ÓÃÊ,2023-02-19,3.3,1012.4,1020.4,1011.6,1014.5,9.8,,2.6
90,¼ÓÃÊ,2023-02-20,1.9,1021.8,1030.6,1020.1,1024.1,10.1,,1.3
90,¼ÓÃÊ,2023-02-21,2.4,1032.2,1036.3,1030.7,1034.5,10,,1.9
90,¼ÓÃÊ,2023-02-22,3,1024.6,1034,1021.3,1026.8,9,,6
90,¼ÓÃÊ,2023-02-23,3.8,1018.5,1022.3,1019.8,1020.7,10,,4.8
90,¼ÓÃÊ,2023-02-24,4.1,1021.1,1026.7,1019.8,1023.3,7.8,,3.9
90,¼ÓÃÊ,2023-02-25,4.3,1028.9,1033.3,1026.6,1031.2,2.7,,5.1
90,¼ÓÃÊ,2023-02-26,3.4,1031.9,1035.9,1032.8,1034.1,10.5,,0
90,¼ÓÃÊ,2023-02-27,3.1,1027.7,1033.2,1026.2,1029.9,10.6,,0
90,¼ÓÃÊ,2023-02-28,2.8,1019.9,1026.3,1019.7,1022.1,5.5,,6.5
90,¼ÓÃÊ,2023-03-01,4.2,1017.2,1021.7,1016.3,1019.4,3.9,,6.6
90,¼ÓÃÊ,2023-03-02,2.6,1022.4,1027.3,1021.6,1024.6,10.4,,1.9
90,¼ÓÃÊ,2023-03-03,3.4,1021,1025.7,1021,1023.2,10.3,,.3
90,¼ÓÃÊ,2023-03-04,6.3,1026.7,1030.3,1025.8,1028.9,10.4,,1.3
90,¼ÓÃÊ,2023-03-05,6.8,1023.8,1030.2,1022.7,1026,9.6,,.9
90,¼ÓÃÊ,2023-03-06,3.2,1017.2,1023,1016.7,1019.3,10.2,,1.9
90,¼ÓÃÊ,2023-03-07,6.9,1015.1,1019.6,1015,1017.2,9.7,,.3
90,¼ÓÃÊ,2023-03-08,7,1013.9,1018.3,1013.9,1016,4.3,,5.3
90,¼ÓÃÊ,2023-03-09,8.4,1013.4,1018.5,1012.7,1015.5,1.9,,6.6
90,¼ÓÃÊ,2023-03-10,9.9,1017.5,1021.3,1017.6,1019.6,7.7,,5.9
90,¼ÓÃÊ,2023-03-11,9.2,1020.7,1025.2,1020.4,1022.9,0,,8.6
90,¼ÓÃÊ,2023-03-12,7,1015.1,1024.4,1013.2,1017.3,.5,,8.5
90,¼ÓÃÊ,2023-03-13,1.9,1016.5,1022,1016.8,1018.7,8.1,,5
90,¼ÓÃÊ,2023-03-14,5.3,1014.2,1017.9,1014.4,1016.3,4.1,,8.1
90,¼ÓÃÊ,2023-03-15,6.6,1014.2,1019.2,1013.6,1016.3,5.9,,6.6
90,¼ÓÃÊ,2023-03-16,2.9,1024.4,1028.4,1019.3,1026.6,8.2,,5
90,¼ÓÃÊ,2023-03-17,3.9,1022.2,1028,1019.8,1024.4,8.7,,6.4
90,¼ÓÃÊ,2023-03-18,5.2,1015.7,1019.9,1015.7,1017.9,10.5,,3.8
90,¼ÓÃÊ,2023-03-19,5.2,1015.5,1019.9,1016.2,1017.6,11.3,,.3
90,¼ÓÃÊ,2023-03-20,5.8,1011.8,1016.3,1011.9,1013.9,9.8,,4.8
90,¼ÓÃÊ,2023-03-21,7,1009.8,1013.4,1010.5,1011.9,10.5,,1.5
90,¼ÓÃÊ,2023-03-22,10.1,1008.6,1012.9,1008.8,1010.7,9.8,,5.6
90,¼ÓÃÊ,2023-03-23,9.5,1007.3,1012,1007,1009.4,.1,,7.1
90,¼ÓÃÊ,2023-03-24,7.7,1016.9,1022.3,1012,1019,0,,8
90,¼ÓÃÊ,2023-03-25,8.6,1018.5,1023.2,1018.2,1020.7,0,,9
90,¼ÓÃÊ,2023-03-26,6.9,1015.4,1019.3,1016.4,1017.6,3.2,,5.5
90,¼ÓÃÊ,2023-03-27,6.6,1018.6,1022.4,1019.3,1020.8,10.9,,1
90,¼ÓÃÊ,2023-03-28,5.5,1020.8,1024.5,1021.6,1022.9,10.6,,.9
90,¼ÓÃÊ,2023-03-29,7,1018.7,1023.6,1018.2,1020.8,10.8,,1.4
90,¼ÓÃÊ,2023-03-30,3.7,1013.9,1018.8,1013.2,1016,11.5,,.6
90,¼ÓÃÊ,2023-03-31,9.1,1015.9,1020.3,1016.1,1018,11.1,,.4
90,¼ÓÃÊ,2023-04-01,11.6,1016.4,1019.6,1017,1018.5,10.4,,1.6
90,¼ÓÃÊ,2023-04-02,11.4,1020.8,1024.5,1019.6,1022.9,9.4,,3
90,¼ÓÃÊ,2023-04-03,10.4,1023.3,1027.3,1024.2,1025.5,9.6,,3.4
90,¼ÓÃÊ,2023-04-04,11.2,1018.9,1024.6,1018.9,1021.1,4,,9.5
90,¼ÓÃÊ,2023-04-05,12.9,1007.6,1019.2,1004.4,1009.7,0,,9.8
90,¼ÓÃÊ,2023-04-06,9.8,1004.6,1009.2,1005.1,1006.7,7.9,,7.9
90,¼ÓÃÊ,2023-04-07,5.2,1007.8,1013.1,1007.8,1009.9,10.2,,1.5
90,¼ÓÃÊ,2023-04-08,3.1,1012.7,1017.4,1013.1,1014.8,12.1,,.3
90,¼ÓÃÊ,2023-04-09,4.1,1013.4,1017.9,1012.6,1015.4,12.1,,1.3
90,¼ÓÃÊ,2023-04-10,4.6,1008.4,1014,1007.3,1010.4,8.5,,4.5
90,¼ÓÃÊ,2023-04-11,8.5,1002.3,1009,999.8,1004.3,7.8,,4.6
90,¼ÓÃÊ,2023-04-12,2.2,1011.3,1015.4,1009.1,1013.4,11.3,,.4
90,¼ÓÃÊ,2023-04-13,3.5,1011.6,1015.5,1009.9,1013.6,9.6,,4.1
90,¼ÓÃÊ,2023-04-14,8.1,1011.3,1015.7,1012.3,1013.4,.3,,7.4
90,¼ÓÃÊ,2023-04-15,8.6,1003.8,1012.3,1003.3,1005.9,1.9,,8.4
90,¼ÓÃÊ,2023-04-16,8.9,1003.9,1010.5,1002.8,1006,.3,,7.4
90,¼ÓÃÊ,2023-04-17,9.9,1013.2,1018.3,1010.5,1015.4,6.5,,5.6
90,¼ÓÃÊ,2023-04-18,11.1,1009.8,1017.4,1008.5,1011.9,5.9,,4.6
90,¼ÓÃÊ,2023-04-19,11.5,1008.5,1014,1007.3,1010.6,4.8,,5.8
90,¼ÓÃÊ,2023-04-20,11.8,1004.2,1011.2,1003.2,1006.2,6.7,,6
90,¼ÓÃÊ,2023-04-21,6.9,1013.7,1018.2,1011.1,1015.8,6.6,,5.8
90,¼ÓÃÊ,2023-04-22,7.4,1020.2,1024.1,1018.2,1022.3,6.7,,5.9
90,¼ÓÃÊ,2023-04-23,9.8,1022.5,1026.9,1022.5,1024.6,9.2,,6.8
90,¼ÓÃÊ,2023-04-24,10.1,1023,1028,1021.2,1025.1,5.3,,7.3
90,¼ÓÃÊ,2023-04-25,9.6,1012.5,1021.5,1009.9,1014.6,0,,8.6
90,¼ÓÃÊ,2023-04-26,8.1,1009.2,1016.8,1007.1,1011.3,7.2,,4
90,¼ÓÃÊ,2023-04-27,9.6,1015.8,1019.4,1016.6,1018,12.5,,1.5
90,¼ÓÃÊ,2023-04-28,9.3,1011.4,1017.3,1010.4,1013.5,10.7,,6.6
90,¼ÓÃÊ,2023-04-29,12.1,1001.7,1010.8,999.9,1003.8,1.9,,8.5
90,¼ÓÃÊ,2023-04-30,6.9,1003.8,1009.8,1001.8,1005.9,12.8,,3.6
90,¼ÓÃÊ,2023-05-01,6.7,1013.1,1019.6,1009.8,1015.2,10.2,,2.4
90,¼ÓÃÊ,2023-05-02,8.6,1019.1,1023.1,1019.5,1021.2,8.2,,6.8
90,¼ÓÃÊ,2023-05-03,9,1016.5,1021.4,1016.2,1018.6,12.8,,4.8
90,¼ÓÃÊ,2023-05-04,13.4,1010.6,1017.1,1008.2,1012.6,6.8,,6.6
90,¼ÓÃÊ,2023-05-05,13.4,1004.1,1009.4,1003.3,1006.2,0,,9.4
90,¼ÓÃÊ,2023-05-06,10.4,1011.8,1016.2,1009.4,1013.9,0,,8.6
90,¼ÓÃÊ,2023-05-07,8.6,1013.7,1017.1,1014.3,1015.8,.8,,6.6
90,¼ÓÃÊ,2023-05-08,8.2,1013.4,1017,1013.7,1015.5,13.3,,.9
90,¼ÓÃÊ,2023-05-09,7.2,1010.4,1014.3,1009.6,1012.4,12.9,,1.1
90,¼ÓÃÊ,2023-05-10,11.9,1015.2,1020.7,1013.8,1017.3,12.7,,3.9
90,¼ÓÃÊ,2023-05-11,13.4,1017.9,1022.1,1018.2,1020,3.8,,4.8
90,¼ÓÃÊ,2023-05-12,13.1,1013.7,1018.4,1013.2,1015.8,6.1,,5.4
90,¼ÓÃÊ,2023-05-13,13,1010.4,1015.5,1009.7,1012.5,6.7,,6.8
90,¼ÓÃÊ,2023-05-14,14.6,1006.6,1010.7,1006.9,1008.7,7.3,,6.8
90,¼ÓÃÊ,2023-05-15,14.2,1004.8,1009.2,1004.7,1006.8,9.4,,4.8
90,¼ÓÃÊ,2023-05-16,12,1004.9,1009.2,1005.2,1006.8,11.8,,2.6
90,¼ÓÃÊ,2023-05-17,11.1,1008.6,1012.1,1008.5,1010.6,8.8,,5.3
90,¼ÓÃÊ,2023-05-18,15.9,1009.8,1013.5,1010,1011.8,3.1,,7.4
90,¼ÓÃÊ,2023-05-19,13.3,1010.7,1013.9,1011.7,1012.8,1.6,,5.9
90,¼ÓÃÊ,2023-05-20,13,1006.6,1012.8,1004.6,1008.7,11,,6.5
90,¼ÓÃÊ,2023-05-21,11.1,1004.4,1008,1004.3,1006.4,7.3,,7.9
90,¼ÓÃÊ,2023-05-22,10,1007.7,1011.1,1007.7,1009.7,9.3,,4.1
90,¼ÓÃÊ,2023-05-23,11.2,1008.8,1012.8,1009.6,1010.9,12.2,,1.8
